"# the first three columns must be ""cpu mhz"", ""sys mb"", and ""vid mb"", respectively",,,,,,,,,,,,,,,,,,,,,,,
# each subsequent column header is a cvar name,,,,,,,,,,,,,,,,,,,,,,,
"# each cvar gets the value listed in its column for the row of the system settings that most closely match the current machine, without going over",,,,,,,,,,,,,,,,,,,,,,,

cpu mhz,sys mb,vid mb,r_picmip,r_picmip2,r_mode,r_texturebits,r_dynamiclight,r_dlightQuality,r_lodscale,r_lodbias,r_fastsky,r_swapInterval,r_swapDelay,r_flares,r_fullscreen,r_texturemode,cg_brass,cg_marks,cg_shadows,cg_nopredict,mss_khz,g_useGear,ai_corpseCount
0,128,32,2,2,3,16,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,11,0,3
0,128,64,2,2,4,0,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,11,0,3
0,128,128,1,1,6,0,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,11,0,3
0,128,256,1,1,6,0,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,11,0,3
0,192,32,2,2,3,16,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,0,3
0,192,64,1,2,4,0,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,0,3
0,192,128,1,1,6,0,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,0,3
0,192,256,0,1,6,0,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,0,3
0,256,32,2,2,3,16,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,0,3
0,256,64,1,2,4,0,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,0,3
0,256,128,1,1,6,0,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,0,3
0,256,256,0,0,6,0,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,22,0,3
0,512,32,2,2,3,16,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,44,0,3
0,512,64,1,2,4,0,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,44,0,3
0,512,128,1,1,6,0,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,44,0,3
0,512,256,0,0,6,0,2,0,4,-200,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,44,0,3

800,128,32,2,2,3,16,1,0,2,-100,0,0,0,0,1,GL_LINEAR_MIPMAP_NEAREST,0,0,0,1,11,0,5
