,all,bullet_slow,plasma_slow,bullet_fast,plasma_fast,bullet_vehicle,plasma_vehicle,explosion_small,explosion_attached,explosion_large,collision,melee,cutting,burning,emp,sniper,anti_flood,kill_flood,sentinel_melee,no_damage,
material,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,0,
liquid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,
liquid_thin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,
liquid_thick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,
soft,1,1,1,1,1,1,1,1,1,1,1,1,2,0.25,0,,,,,0,
soft_organic,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,,,,,0,
soft_organic_flesh_hunter,,2,2,2,2,,,,,,,,,,,4,,,,0,
soft_inorganic,1,1,1,1,1,1,1,1,1,1,1,1,2,0.25,0,,,,,0,
soft_terrain,1,1,1,1,1,1,1,1,0,1,1,0.25,2,0.25,0,,,,,0,
tough,1,0.5,1,1,1,1,1,1,1,1,1,1,2,0.25,0,,,,,0,
tough_organic,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,2,0,,,,,0,
tough_organic_flesh_brute_tartarus,0,1,1,1,1,0.5,0.5,0,0.25,0,0.5,0.5,1,2,0,0,,,,0,
tough_inorganic,1,0.5,0.5,1,1,1,1,1,1,1,1,1,2,0.25,0,,,,,0,
tough_floodflesh,1,1.25,0.5,0.5,0.5,0.5,0.5,1,1,1,1,0.25,4,2,0,,6,2,6,0,
tough_terrain,1,1,0.5,0.5,0.5,0.5,0.5,1,0,1,1,0.25,2,0.25,0,,,,,0,
hard,1,1,0.25,1,1,1,1,1,1,1,1,1,1,0,0,,,,,0,
hard_metal_thin,1,1,0.35,1,1,1,1,1,1,1,1,1,1,0.25,1,,,,,0,
hard_metal_thick,1,0.25,0.1,0.5,0.25,1,1,1,0,1,1,0.25,0.25,0,1,,,,,0,
hard_metal_solid,1,0,0,0,0,0.5,0.5,0.25,0,1,1,0,0,0,1,,,,,0,
hard_terrain,1,0.5,0,0.5,0.5,0.5,0.5,0.25,0,1,1,0.25,0.25,0,0,,,,,0,
hard_floodflesh,1,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0.25,1,0,,,,,0,
hard_metal_solid_for_cable,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,,,,,0,
brittle,1,1,1,0.5,0.5,0.5,0.5,2,1,2,2,2,1,0.25,0,,,,,0,
brittle_glass,1,1,0.25,0.5,0.5,0.5,0.5,2,1,2,2,2,1,0.25,0,,,,,0,
brittle_elec,1,1,1.5,0.5,1,0.5,1,2,1,2,2,2,1,1,500,,,,,0,
brittle_mech,1,1.5,1,1,0.5,1,0.5,2,1,2,2,2,1,0.25,0,,,,,0,
brittle_explosive,1,0.5,1,0.5,1,0.5,1,2,1,2,2,2,1,2,0,,,,,0,
energy,1,1,1.5,1,1,1,1,0.5,0.5,0.5,1,1,1,2,0,,,,,0,
energy_shield_thin,1,1,1.5,1,1,1,1,0.5,0.5,0.5,1,1,1,2,500,2,,,,0,
energy_shield_thick,1,0,1,0,0.5,0.5,1,0.5,0.5,0.5,1,0,0,1,500,,,,,0,
energy_shield_invincible,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,10,,,,0,
energy_holo,1,0,1,0.5,1,0.5,1,0.5,0.5,0.5,1,0,0,1,500,,,,,0,
sentinel,,,4,,2,,2,,,,,,,,500,,,,0,,
sentinel_enforcer,,,2,,2,,2,,,,,,,,50,,,,0,,




,,,,,,,,,,,,,,,,,,,,,
