,all,bullet_slow,plasma_slow,bullet_fast,plasma_fast,bullet_vehicle,plasma_vehicle,explosion_small,explosion_attached,explosion_large,collision,melee,cutting,infection,burning,emp,laser,explosion_carrier,sniper,anti_flood,no_damage
material,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,0
liquid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
liquid_thin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
liquid_thick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
soft,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,1,1,,,0
soft_organic,1,1,0.5,1,1,1,1,1,1,1,1,1,2,2,2,0,1,1,,,0
soft_organic_flesh_hunter,,2,2,2,2,,,,,,,,,0,,,,,,,0
soft_inorganic,1,0.5,0.5,0.5,0.5,1,1,1,1,1,0.5,0.5,2,2,0.25,0,1,1,,,0
soft_terrain,1,1,0.5,1,1,1,1,1,0,1,0.5,0.25,2,0,0.25,0,1,1,,,0
soft_floodflesh,1,0.15,0.15,2,2,0.25,0.25,1,1,2,2,2,2,0,2,0,2,1,0.25,2,0
tough,1,0.1,1,1,1,1,1,1,1,1,1,0.5,2,1,0.25,0,1,1,,,0
tough_organic,1,0.5,0.1,1,0.5,1,0.5,1,1,1,1,0.5,1,1,2,0,1,1,,,0
tough_inorganic,1,0.5,0.1,1,0.5,1,0.5,1,1,1,1,0.5,2,1,0.25,0,1,1,,,0
tough_floodflesh,1,0.75,0.75,0.1,0.1,0.2,0.2,1,1,1,1,2,2,0,2,0,1,1,,2,0
tough_terrain,1,1,0.2,0,0,0.2,0.2,1,0,1,0.25,0.1,2,0,0.25,0,1,1,,,0
hard,1,1,0.2,1,1,1,1,1,1,1,1,1,1,0.25,0.25,0,1,1,,,0
hard_metal_thin,1,1,0.11667,1,0.3333334,1,1,0.5,0.5,0.5,1,1,1,0.25,0.25,0,0.5,0.5,,,0
hard_metal_thin_player,,,3,,3,,,,,,,,,,4,,,,,,
hard_metal_thick,1,0,0,0,0,0.4,0.1,0.2,0.2,1,0.25,0,0,0,0.25,0.001,1,1,0,,0
hard_metal_solid,1,0,0,0,0,0,0,0,0.1,0.5,0.2,0,0,0,0,0.001,1,0.25,,,0
hard_metal_invulnerable,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0
hard_terrain,1,0,0,0,0,0.5,0.5,0,0,0.1,0.1,0,0.25,0,0,0,1,0.25,,,0
hard_floodflesh,1,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0,1,0,2,0,1,0.25,,2,0
brittle,1,1,1,0.5,0.5,0.5,0.5,2,2,2,2,2,1,1,1,0,2,2,,,0
brittle_glass,1,1,0.25,0.5,0.5,0.5,0.5,2,2,2,2,2,1,1,1,0,2,2,,,0
brittle_elec,1,1,1.5,0.5,1,0.5,1,2,2,2,2,2,1,1,1,1,2,2,,,0
brittle_mech,1,1.5,1,1,0.5,1,0.5,2,2,2,2,2,1,1,1,0,2,2,,,0
brittle_flood,1,1.5,1,1,0.5,1,0.5,2,2,2,2,2,1,1,1,0,2,2,,,0
brittle_explosive,1,0.5,1,0.5,1,0.5,1,2,2,2,2,2,1,1,2,0,2,2,,,0
energy,1,1,1.5,1,1,1,1,0.5,0.5,0.5,1,1,1,1,0.25,0,0.5,0.5,,,0
energy_shield_thin,1,0.25,1.5,0.25,1,0.25,1,0.5,0.5,0.5,1,0.5,0.5,1,2,1,0.5,0.5,,,0
energy_shield_thin_player,,4,,4,,4,,,,,,2,2,,,,,,,,0
energy_shield_thick,1,0,1,0,0.5,0,1,0,0,0.2,1,0.2,0.2,0,0.25,1,0.5,0.5,,,0
energy_shield_solid,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0,,,0
energy_shield_solid_melee,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,,0
energy_shield_invincible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
energy_shield_invincible_monitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0
energy_holo,1,0,1,0.5,1,0.5,1,0.5,0.5,0.5,1,0,0,0,0.25,1,0.5,0.5,,,0
sentinel,,,4,,2,,2,,,,,,,,,,,,,,
infection,,,,,,,,,,,,,,,,,,0,,,
